1,srrogers@yahoo.co.uk,tasha.marsden@gmail.com,3,0,2018-09-30,1,Waterstone Crook Sports Centre,Oldies Cup,2018
2,gary_the_man@yahoo.co.uk,u_marsden@gmail.com,3,2,2018-10-28,2,Forthill Squash Club,Oldies Cup,2018
3,srrogers@yahoo.co.uk,u_marsden@gmail.com,3,1,2018-11-02,1,Waterstone Crook Sports Centre,Oldies Cup,2018
4,gary_the_man@yahoo.co.uk,tasha.marsden@gmail.com,0,3,2018-11-04,4,Waterstone Crook Sports Centre,Oldies Cup,2018
5,tasha.marsden@gmail.com,u_marsden@gmail.com,1,3,2018-11-06,2,Forthill Squash Club,Oldies Cup,2018
6,gary_the_man@yahoo.co.uk,srrogers@yahoo.co.uk,1,3,2018-11-09,2,Waterstone Crook Sports Centre,Oldies Cup,2018
7,tasha.marsden@gmail.com,u_marsden@gmail.com,3,1,2019-09-27,2,Waterstone Crook Sports Centre,Oldies Cup,2019
8,srrogers@yahoo.co.uk,u_marsden@gmail.com,3,2,2019-09-29,2,Waterstone Crook Sports Centre,Oldies Cup,2019
9,gary_the_man@yahoo.co.uk,tasha.marsden@gmail.com,2,3,2019-09-29,4,Waterstone Crook Sports Centre,Oldies Cup,2019
10,srrogers@yahoo.co.uk,tasha.marsden@gmail.com,3,0,2019-10-02,1,Forthill Squash Club,Oldies Cup,2019
11,gary_the_man@yahoo.co.uk,srrogers@yahoo.co.uk,0,3,2019-10-09,1,Waterstone Crook Sports Centre,Oldies Cup,2019
12,gary_the_man@yahoo.co.uk,u_marsden@gmail.com,3,1,2019-10-30,3,University Sports Centre,Oldies Cup,2019
13,tasha.marsden@gmail.com,u_marsden@gmail.com,2,3,2020-10-02,1,Waterstone Crook Sports Centre,Oldies Cup,2020
14,gary_the_man@yahoo.co.uk,tasha.marsden@gmail.com,3,0,2020-10-09,2,Waterstone Crook Sports Centre,Oldies Cup,2020
15,gary_the_man@yahoo.co.uk,u_marsden@gmail.com,1,3,2020-11-05,1,Forthill Squash Club,Oldies Cup,2020
16,jwh@hotmail.com,tabitha.stacey@gmail.com,2,3,2018-04-05,1,University Sports Centre,Alexander McLintoch Trophy,2018
17,louis.payne@gmail.com,final_fantasy_freak1993@hotmail.com,3,0,2018-04-11,3,University Sports Centre,Alexander McLintoch Trophy,2018
18,jwh@hotmail.com,sylvia.hathaway@gmail.com,1,3,2018-04-17,1,University Sports Centre,Alexander McLintoch Trophy,2018
19,louis.payne@gmail.com,jwh@hotmail.com,3,0,2018-05-07,3,University Sports Centre,Alexander McLintoch Trophy,2018
20,tabitha.stacey@gmail.com,final_fantasy_freak1993@hotmail.com,1,3,2018-05-23,2,Forthill Squash Club,Alexander McLintoch Trophy,2018
21,sylvia.hathaway@gmail.com,tabitha.stacey@gmail.com,3,2,2018-05-25,2,Waterstone Crook Sports Centre,Alexander McLintoch Trophy,2018
22,louis.payne@gmail.com,tabitha.stacey@gmail.com,3,1,2018-05-28,1,University Sports Centre,Alexander McLintoch Trophy,2018
23,final_fantasy_freak1993@hotmail.com,sylvia.hathaway@gmail.com,2,3,2018-06-13,1,University Sports Centre,Alexander McLintoch Trophy,2018
24,jwh@hotmail.com,final_fantasy_freak1993@hotmail.com,3,0,2018-06-21,1,University Sports Centre,Alexander McLintoch Trophy,2018
25,sylvia.hathaway@gmail.com,louis.payne@gmail.com,2,3,2018-07-09,3,University Sports Centre,Alexander McLintoch Trophy,2018
26,tabitha.stacey@gmail.com,butch@xyz.club,3,0,2019-04-11,1,University Sports Centre,Alexander McLintoch Trophy,2019
27,butch@xyz.club,final_fantasy_freak1993@hotmail.com,0,3,2019-04-12,1,University Sports Centre,Alexander McLintoch Trophy,2019
28,sylvia.hathaway@gmail.com,butch@xyz.club,0,3,2019-04-16,3,University Sports Centre,Alexander McLintoch Trophy,2019
29,gary_the_man@yahoo.co.uk,tabitha.stacey@gmail.com,1,3,2019-04-19,1,University Sports Centre,Alexander McLintoch Trophy,2019
30,jwh@hotmail.com,sylvia.hathaway@gmail.com,3,2,2019-04-24,2,Waterstone Crook Sports Centre,Alexander McLintoch Trophy,2019
31,gary_the_man@yahoo.co.uk,final_fantasy_freak1993@hotmail.com,3,2,2019-04-30,2,Waterstone Crook Sports Centre,Alexander McLintoch Trophy,2019
32,sylvia.hathaway@gmail.com,final_fantasy_freak1993@hotmail.com,1,3,2019-05-03,4,Waterstone Crook Sports Centre,Alexander McLintoch Trophy,2019
33,tabitha.stacey@gmail.com,final_fantasy_freak1993@hotmail.com,3,0,2019-05-13,3,University Sports Centre,Alexander McLintoch Trophy,2019
34,jwh@hotmail.com,final_fantasy_freak1993@hotmail.com,1,3,2019-05-21,3,University Sports Centre,Alexander McLintoch Trophy,2019
35,gary_the_man@yahoo.co.uk,sylvia.hathaway@gmail.com,1,3,2019-06-06,4,Waterstone Crook Sports Centre,Alexander McLintoch Trophy,2019
36,tabitha.stacey@gmail.com,sylvia.hathaway@gmail.com,3,2,2019-06-28,1,University Sports Centre,Alexander McLintoch Trophy,2019
37,jwh@hotmail.com,tabitha.stacey@gmail.com,0,3,2019-07-15,2,Waterstone Crook Sports Centre,Alexander McLintoch Trophy,2019
38,jwh@hotmail.com,gary_the_man@yahoo.co.uk,0,3,2019-07-17,1,University Sports Centre,Alexander McLintoch Trophy,2019
39,jwh@hotmail.com,butch@xyz.club,2,3,2019-07-22,1,University Sports Centre,Alexander McLintoch Trophy,2019
40,gary_the_man@yahoo.co.uk,butch@xyz.club,3,1,2019-07-26,1,University Sports Centre,Alexander McLintoch Trophy,2019
41,tabitha.stacey@gmail.com,butch@xyz.club,3,1,2020-05-05,1,Waterstone Crook Sports Centre,Alexander McLintoch Trophy,2020
42,butch@xyz.club,sylvia.hathaway@gmail.com,1,3,2020-05-15,2,Waterstone Crook Sports Centre,Alexander McLintoch Trophy,2020
43,gary_the_man@yahoo.co.uk,sylvia.hathaway@gmail.com,1,3,2020-05-26,1,East Sands Leisure Centre,Alexander McLintoch Trophy,2020
44,tabitha.stacey@gmail.com,sylvia.hathaway@gmail.com,0,3,2020-05-28,1,East Sands Leisure Centre,Alexander McLintoch Trophy,2020
45,tabitha.stacey@gmail.com,gary_the_man@yahoo.co.uk,3,2,2020-07-03,2,East Sands Leisure Centre,Alexander McLintoch Trophy,2020
